objectid,parentid,title,work_type,creator,vocabularies_creator,date_created,dimensions,location,vocabularies_location,provenance,citation,subject,vocabularies_subject,description,related_paintings,display_template,object_location,image_small,image_thumb,image_alt_text
i_0013,w_0013,"Image of ""Holy Family & Infant St John""",photographic prints,Sotheby's,,,,I Tatti Renaissance library,NAF,"Stamped Sotheby & Co. No. _ World Copyright.    Stamped Fototeca Berenson Firenze, I Tatti Settignano",,,,,,image,/objects/109897_1_45942662.jpg,/objects/small/109897_1_45942662_sm.jpg,/objects/thumbs/109897_1_45942662_th.jpg,"Black-and-white photograph of a painting of the Virgin Mary reclining with the Christ child and St. John, who holds a banner. A lamb lies beneath."
i_0013a,w_0013,,,,,,,,,,,,,,,image,/objects/109897_2_45942663.jpg,/objects/small/109897_2_45942663_sm.jpg,/objects/thumbs/109897_2_45942663_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0014,w_0014,"Image of ""The Madonna & Child & St. John""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped A.C. Cooper [1873-1960], London, England;

Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/110165_1_45936379.jpg,/objects/small/110165_1_45936379_sm.jpg,/objects/thumbs/110165_1_45936379_th.jpg,"Black-and-white photograph of a painting of the Virgin Mary holding the Christ child and St. John, with St. John holding a cross. The background includes columns and the artist's signature."
i_0014a,w_0014,,,,,,,,,,,,,,,image,/objects/110165_2_45936380.jpg,/objects/small/110165_2_45936380_sm.jpg,/objects/thumbs/110165_2_45936380_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0015,w_0015,"Image of ""Madonna with Infant John""",photographic prints,"photographer: Augustus Charles Cooper (British, 1873-1960)",ULAN,,,I Tatti Renaissance library,NAF,"Stamped A.C. Cooper [1873-1960], London, England;

Stamped Fototeca Berenson, Firenze, I Tatti Settignano",,,,,,image,/objects/110164_1_45936377.jpg,/objects/small/110164_1_45936377_sm.jpg,/objects/thumbs/110164_1_45936377_th.jpg,"Black-and-white photograph of a painting of the Virgin Mary seated with the Christ child and St. John, with St. John holding a cross and looking up at her."
i_0015a,w_0015,,,,,,,,,,,,,,,image,/objects/110164_2_45936378.jpg,/objects/small/110164_2_45936378_sm.jpg,/objects/thumbs/110164_2_45936378_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0016,w_0016,"Image of ""Astronomy""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,Stamped Fotoeca Berenson Firenze,,,,,,image,/objects/110644_1_45950503.jpg,/objects/small/110644_1_45950503_sm.jpg,/objects/thumbs/110644_1_45950503_th.jpg,"Black-and-white photograph of a painting of a seated woman holding an armillary sphere against a night sky, with a celestial globe beside her."
i_0016a,w_0016,,,,,,,,,,,,,,,image,/objects/110644_2_45950504.jpg,/objects/small/110644_2_45950504_sm.jpg,/objects/thumbs/110644_2_45950504_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0017,w_0017,"Image of ""Resurrection""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,Stamped Fotoeca Berenson Firenze,,,,,,image,/objects/110544_1_45951439.jpg,/objects/small/110544_1_45951439_sm.jpg,/objects/thumbs/110544_1_45951439_th.jpg,"Black-and-white photograph of a painting of an elderly woman seated in an ornate chair, holding a small book or box in one hand."
i_0017a,w_0017,,,,,,,,,,,,,,,image,/objects/110544_2_45951440.jpg,/objects/small/110544_2_45951440_sm.jpg,/objects/thumbs/110544_2_45951440_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0018,w_0018,"Image of ""Old Woman""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,Stamped Fotoeca Berenson Firenze,,,,,,image,/objects/110226_1_45936475.jpg,/objects/small/110226_1_45936475_sm.jpg,/objects/thumbs/110226_1_45936475_th.jpg,"Black-and-white photograph of a painting of a Christ figure standing at a tomb, holding a flag, with three men resting around him."
i_0018a,w_0018,,,,,,,,,,,,,,,image,/objects/110226_2_45936476.jpg,/objects/small/110226_2_45936476_sm.jpg,/objects/thumbs/110226_2_45936476_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0019,w_0019,"Image of ""Rest On Flight""",photographic prints,photographer unknown,,,,I Tatti Renaissance library,NAF,Stamped Fotoeca Berenson Firenze,,,,,,image,/objects/110186_1_45936413.jpg,/objects/small/110186_1_45936413_sm.jpg,/objects/thumbs/110186_1_45936413_th.jpg,"Black-and-white photograph of a painting of several figures gathered around a woman holding a baby, with a donkey and sheep in the background."
i_0019a,w_0019,,,,,,,,,,,,,,,image,/objects/110186_2_45936414.jpg,/objects/small/110186_2_45936414_sm.jpg,/objects/thumbs/110186_2_45936414_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
i_0020,w_0020,Image of Madonna and Child,photographic prints,"photographer: Mario Perotti‏, (Italian, 1909-1999)",ULAN,,,I Tatti Renaissance library,NAF,Stamped Fotoeca Berenson Firenze,,,,,,image,/objects/110168_1_45936387.jpg,/objects/small/110168_1_45936387_sm.jpg,/objects/thumbs/110168_1_45936387_th.jpg,"Black-and-white photograph of a painting of a woman holding the Christ child and St. John, with a lamb in the foreground."
i_0020a,w_0020,,,,,,,,,,,,,,,image,/objects/110168_2_45936388.jpg,/objects/small/110168_2_45936388_sm.jpg,/objects/thumbs/110168_2_45936388_th.jpg,"Reverse side of black and white photograph which may contain stamps and handwritten provenance information. Information will be transcribed in the ""provenance"" and ""creator"" fields."
